1;Afganistán;93
2;Albania;355
3;Alemania;49
4;Angola;244
5;Anguila;1
6;Antigua y Barbuda;1
7;Antillas Holandesas;599
8;Arabia Saudita;966
9;Argelia;213
10;Argentina;54
11;Armenia;374
12;Aruba;297
13;Australia;61
14;Austria;43
15;Azerbaiyán;994
16;Bahamas;1
17;Bangladés;880
18;Barbados;1
19;Bélgica;32
20;Belice;501
21;Benín;229
22;Bermudas;1
23;Bielorrusia;375
24;Bolivia;591
25;Bosnia y Herzegovina;387
26;Botsuana;267
27;Brasil;55
28;Brunéi;673
29;Bulgaria;359
30;Burkina Faso;226
31;Burundi;257
32;Bután;975
33;Cabo Verde;238
34;Camboya;855
35;Camerún;237
36;Canadá;1
37;Catar;974
38;Chad;235
39;Chequia;420
40;Chile;56
41;China;86
42;Chipre;357
43;Colombia;57
44;Comoras;269
45;Congo;242
46;Corea;82
47;Corea del Norte;850
48;Costa de Marfil;225
49;Costa Rica;506
50;Croacia;385
51;Cuba;53
52;Diego García;246
53;Dinamarca;45
54;Dominica;1
55;Ecuador;593
56;Egipto;20
57;El Salvador;503
58;Emiratos Árabes Unidos;971
59;Eritrea;291
60;Escocia;44
61;Eslovaquia;421
62;Eslovenia;386
63;España;34
64;Estonia;372
65;Etiopía;251
66;Federación Rusa;7
67;Filipinas;63
68;Finlandia;358
69;Fiyi;679
70;Francia;33
71;Gabón;241
72;Gales;44
73;Gambia;220
74;Georgia;995
75;Ghana;233
76;Gibraltar;350
77;Granada;1
78;Grecia;30
79;Groenlandia;299
80;Guadalupe;590
81;Guam;1
82;Guatemala;502
83;Guayana Francesa;594
84;Guinea;224
85;Guinea Ecuatorial;240
86;Guinea-Bissau;245
87;Guyana;592
88;Haití;509
89;Holanda;31
90;Honduras;504
91;HongKong;852
92;Hungría;36
93;India;91
94;Indonesia;62
95;Inglaterra;44
96;Irak;964
97;Irán;98
98;Irlanda;353
99;Irlanda del Norte;44
100;Isla Ascensión;247
101;Isla Norfolk;6723
102;Islandia;354
103;Islas Caimán;1
104;Islas Cook;682
105;Islas Feroe;298
106;Islas Malvinas;500
107;Islas Marianas del Norte;1
108;Islas Marshall;692
109;Islas Salomón;677
110;Islas Turcas y Caicos;1
111;Islas Vírgenes Británicas;1
112;Islas Vírgenes de los Estados Unidos;1
113;Israel;972
114;Italia;39
115;Jamaica;1
116;Japón;81
117;Jordania;962
118;Kazajistán;7
119;Kenia;254
120;Kirguistán;996
121;Kiribati;686
122;Kuwait;965
123;Laos;856
124;Lesoto;266
125;Letonia;371
126;Líbano;961
127;Liberia;231
128;Libia;218
129;Liechtenstein;423
130;Lituania;370
131;Luxemburgo;352
132;Macao;853
133;Macedonia;389
134;Madagascar;261
135;Malasia;60
136;Malaui;265
137;Maldivas;960
138;Malí;223
139;Malta;356
140;Marruecos;212
141;Martinica;596
142;Mauricio;230
143;Mauritania;222
144;Mayotte;262
145;México;52
146;Micronesia;691
147;Moldavia;373
148;Mónaco;377
149;Mongolia;976
150;Montenegro;382
151;Montserrat;1
152;Mozambique;258
153;Myanmar;95
154;Namibia;264
155;Nauru;674
156;Nepal;977
157;Nicaragua;505
158;Níger;227
159;Nigeria;234
160;Niue;683
161;Noruega;47
162;Nueva Caledonia;687
163;Nueva Zelanda;64
164;Omán;968
165;Pakistán;92
166;Palaos;680
167;Palestina;970
168;Panamá;507
169;Papúa Nueva Guinea;675
170;Paraguay;595
171;Perú;51
172;Polinesia Francesa;689
173;Polonia;48
174;Portugal;351
175;Principado de Andorra;376
176;Puerto Rico;1
177;Reino de Bahréin;973
178;Rep. Dominicana;1
179;República Centroafricana;236
180;República Democrática del Congo;243
181;Reunión;262
182;Ruanda;250
183;Rumanía;40
184;Sáhara Occidental;212
185;Samoa;685
186;Samoa Americana;1
187;San Bartolomé;590
188;San Cristóbal y Nieves;1
189;San Marino;378
190;San Martín;590
191;San Pedro y Miquelón;508
192;San Vicente y las Granadinas;1
193;Santa Elena;290
194;Santa Lucía;1
195;Santo Tomé y Príncipe;239
196;Satélite Inmarsat;870
197;Satélite Iridium;8816
198;Satélite Thuraya;882 16
199;Senegal;221
200;Serbia;381
201;Seychelles;248
202;Sierra Leona;232
203;Singapur;65
204;Sint Maarten;1
205;Siria;963
206;Somalia;252
207;Sri Lanka;94
208;Suazilandia;268
209;Sudáfrica;27
210;Sudán;249
211;Sudán del Sur;211
212;Suecia;46
213;Suiza;41
214;Surinam;597
215;Tailandia;66
216;Taiwán;886
217;Tanzania;255
218;Tayikistán;992
219;Timor Oriental;670
220;Togo;228
221;Tokelau;690
222;Tonga;676
223;Trinidad y Tobago;1
224;Túnez;216
225;Turkmenistán;993
226;Turquía;90
227;Tuvalu;688
228;Ucrania;380
229;Uganda;256
230;Uruguay;598
231;USA;1
232;Uzbekistán;998
233;Vanuatu;678
234;Vaticano;39
235;Venezuela;58
236;Vietnam;84
237;Wallis y Futuna;681
238;Yemen;967
239;Yibuti;253
240;Zambia;260
241;Zimbabue;263
